[train_onemodel - 2018-11-29 01:17:55,837 - INFO] at epoch:  23, under eval mode, labeled_data dice: 0.837 
[train_onemodel - 2018-11-29 01:18:08,101 - INFO] at epoch:  23, under eval mode, unlabeled_data dice: 0.812 
[train_onemodel - 2018-11-29 01:18:10,169 - INFO] at epoch:  23, under eval mode, val_data dice: 0.811 
[train_onemodel - 2018-11-29 01:18:24,179 - INFO] at epoch:  24, under train mode, labeled_data dice: 0.864 
[train_onemodel - 2018-11-29 01:18:37,455 - INFO] at epoch:  24, under train mode, unlabeled_data dice: 0.831 
[train_onemodel - 2018-11-29 01:18:39,690 - INFO] at epoch:  24, under train mode, val_data dice: 0.832 
[train_onemodel - 2018-11-29 01:18:42,867 - INFO] at epoch:  24, under eval mode, labeled_data dice: 0.848 
[train_onemodel - 2018-11-29 01:18:54,645 - INFO] at epoch:  24, under eval mode, unlabeled_data dice: 0.823 
[train_onemodel - 2018-11-29 01:18:56,799 - INFO] at epoch:  24, under eval mode, val_data dice: 0.828 
[train_onemodel - 2018-11-29 01:19:10,773 - INFO] at epoch:  25, under train mode, labeled_data dice: 0.863 
[train_onemodel - 2018-11-29 01:19:23,834 - INFO] at epoch:  25, under train mode, unlabeled_data dice: 0.831 
[train_onemodel - 2018-11-29 01:19:26,062 - INFO] at epoch:  25, under train mode, val_data dice: 0.826 
[train_onemodel - 2018-11-29 01:19:29,276 - INFO] at epoch:  25, under eval mode, labeled_data dice: 0.846 
[train_onemodel - 2018-11-29 01:19:41,183 - INFO] at epoch:  25, under eval mode, unlabeled_data dice: 0.826 
[train_onemodel - 2018-11-29 01:19:43,291 - INFO] at epoch:  25, under eval mode, val_data dice: 0.817 
[train_onemodel - 2018-11-29 01:19:57,196 - INFO] at epoch:  26, under train mode, labeled_data dice: 0.848 
[train_onemodel - 2018-11-29 01:20:10,082 - INFO] at epoch:  26, under train mode, unlabeled_data dice: 0.819 
[train_onemodel - 2018-11-29 01:20:12,334 - INFO] at epoch:  26, under train mode, val_data dice: 0.812 
[train_onemodel - 2018-11-29 01:20:15,409 - INFO] at epoch:  26, under eval mode, labeled_data dice: 0.858 
[train_onemodel - 2018-11-29 01:20:27,332 - INFO] at epoch:  26, under eval mode, unlabeled_data dice: 0.821 
[train_onemodel - 2018-11-29 01:20:29,442 - INFO] at epoch:  26, under eval mode, val_data dice: 0.821 
[train_onemodel - 2018-11-29 01:20:43,467 - INFO] at epoch:  27, under train mode, labeled_data dice: 0.840 
[train_onemodel - 2018-11-29 01:20:56,640 - INFO] at epoch:  27, under train mode, unlabeled_data dice: 0.815 
[train_onemodel - 2018-11-29 01:20:58,958 - INFO] at epoch:  27, under train mode, val_data dice: 0.813 
[train_onemodel - 2018-11-29 01:21:02,190 - INFO] at epoch:  27, under eval mode, labeled_data dice: 0.833 
[train_onemodel - 2018-11-29 01:21:13,741 - INFO] at epoch:  27, under eval mode, unlabeled_data dice: 0.809 
[train_onemodel - 2018-11-29 01:21:15,843 - INFO] at epoch:  27, under eval mode, val_data dice: 0.797 
[train_onemodel - 2018-11-29 01:21:29,793 - INFO] at epoch:  28, under train mode, labeled_data dice: 0.854 
[train_onemodel - 2018-11-29 01:21:42,570 - INFO] at epoch:  28, under train mode, unlabeled_data dice: 0.832 
[train_onemodel - 2018-11-29 01:21:44,814 - INFO] at epoch:  28, under train mode, val_data dice: 0.833 
[train_onemodel - 2018-11-29 01:21:47,835 - INFO] at epoch:  28, under eval mode, labeled_data dice: 0.848 
[train_onemodel - 2018-11-29 01:21:59,837 - INFO] at epoch:  28, under eval mode, unlabeled_data dice: 0.827 
[train_onemodel - 2018-11-29 01:22:01,880 - INFO] at epoch:  28, under eval mode, val_data dice: 0.815 
[train_onemodel - 2018-11-29 01:22:15,972 - INFO] at epoch:  29, under train mode, labeled_data dice: 0.827 
[train_onemodel - 2018-11-29 01:22:29,020 - INFO] at epoch:  29, under train mode, unlabeled_data dice: 0.787 
[train_onemodel - 2018-11-29 01:22:31,249 - INFO] at epoch:  29, under train mode, val_data dice: 0.784 
[train_onemodel - 2018-11-29 01:22:34,407 - INFO] at epoch:  29, under eval mode, labeled_data dice: 0.831 
[train_onemodel - 2018-11-29 01:22:46,324 - INFO] at epoch:  29, under eval mode, unlabeled_data dice: 0.798 
[train_onemodel - 2018-11-29 01:22:48,419 - INFO] at epoch:  29, under eval mode, val_data dice: 0.779 
[train_onemodel - 2018-11-29 01:23:02,469 - INFO] at epoch:  30, under train mode, labeled_data dice: 0.850 
[train_onemodel - 2018-11-29 01:23:15,637 - INFO] at epoch:  30, under train mode, unlabeled_data dice: 0.824 
[train_onemodel - 2018-11-29 01:23:17,805 - INFO] at epoch:  30, under train mode, val_data dice: 0.821 
[train_onemodel - 2018-11-29 01:23:20,952 - INFO] at epoch:  30, under eval mode, labeled_data dice: 0.844 
[train_onemodel - 2018-11-29 01:23:32,678 - INFO] at epoch:  30, under eval mode, unlabeled_data dice: 0.822 
[train_onemodel - 2018-11-29 01:23:34,710 - INFO] at epoch:  30, under eval mode, val_data dice: 0.813 
[train_onemodel - 2018-11-29 01:23:48,409 - INFO] at epoch:  31, under train mode, labeled_data dice: 0.883 
[train_onemodel - 2018-11-29 01:24:01,639 - INFO] at epoch:  31, under train mode, unlabeled_data dice: 0.841 
[train_onemodel - 2018-11-29 01:24:03,937 - INFO] at epoch:  31, under train mode, val_data dice: 0.838 
[train_onemodel - 2018-11-29 01:24:07,204 - INFO] at epoch:  31, under eval mode, labeled_data dice: 0.875 
[train_onemodel - 2018-11-29 01:24:19,083 - INFO] at epoch:  31, under eval mode, unlabeled_data dice: 0.840 
[train_onemodel - 2018-11-29 01:24:21,137 - INFO] at epoch:  31, under eval mode, val_data dice: 0.834 
[train_onemodel - 2018-11-29 01:24:35,255 - INFO] at epoch:  32, under train mode, labeled_data dice: 0.881 
[train_onemodel - 2018-11-29 01:24:48,421 - INFO] at epoch:  32, under train mode, unlabeled_data dice: 0.841 
[train_onemodel - 2018-11-29 01:24:50,754 - INFO] at epoch:  32, under train mode, val_data dice: 0.836 
[train_onemodel - 2018-11-29 01:24:53,848 - INFO] at epoch:  32, under eval mode, labeled_data dice: 0.868 
[train_onemodel - 2018-11-29 01:25:05,446 - INFO] at epoch:  32, under eval mode, unlabeled_data dice: 0.839 
[train_onemodel - 2018-11-29 01:25:07,539 - INFO] at epoch:  32, under eval mode, val_data dice: 0.828 
[train_onemodel - 2018-11-29 01:25:21,596 - INFO] at epoch:  33, under train mode, labeled_data dice: 0.878 
[train_onemodel - 2018-11-29 01:25:34,836 - INFO] at epoch:  33, under train mode, unlabeled_data dice: 0.837 
[train_onemodel - 2018-11-29 01:25:37,203 - INFO] at epoch:  33, under train mode, val_data dice: 0.831 
[train_onemodel - 2018-11-29 01:25:40,465 - INFO] at epoch:  33, under eval mode, labeled_data dice: 0.877 
[train_onemodel - 2018-11-29 01:25:52,497 - INFO] at epoch:  33, under eval mode, unlabeled_data dice: 0.837 
[train_onemodel - 2018-11-29 01:25:54,585 - INFO] at epoch:  33, under eval mode, val_data dice: 0.832 
[train_onemodel - 2018-11-29 01:26:08,768 - INFO] at epoch:  34, under train mode, labeled_data dice: 0.874 
[train_onemodel - 2018-11-29 01:26:21,736 - INFO] at epoch:  34, under train mode, unlabeled_data dice: 0.839 
[train_onemodel - 2018-11-29 01:26:23,983 - INFO] at epoch:  34, under train mode, val_data dice: 0.824 
[train_onemodel - 2018-11-29 01:26:27,247 - INFO] at epoch:  34, under eval mode, labeled_data dice: 0.864 
[train_onemodel - 2018-11-29 01:26:39,096 - INFO] at epoch:  34, under eval mode, unlabeled_data dice: 0.829 
[train_onemodel - 2018-11-29 01:26:41,217 - INFO] at epoch:  34, under eval mode, val_data dice: 0.817 
[train_onemodel - 2018-11-29 01:26:55,220 - INFO] at epoch:  35, under train mode, labeled_data dice: 0.872 
[train_onemodel - 2018-11-29 01:27:08,249 - INFO] at epoch:  35, under train mode, unlabeled_data dice: 0.835 
[train_onemodel - 2018-11-29 01:27:10,474 - INFO] at epoch:  35, under train mode, val_data dice: 0.835 
[train_onemodel - 2018-11-29 01:27:13,672 - INFO] at epoch:  35, under eval mode, labeled_data dice: 0.873 
[train_onemodel - 2018-11-29 01:27:25,393 - INFO] at epoch:  35, under eval mode, unlabeled_data dice: 0.835 
[train_onemodel - 2018-11-29 01:27:27,493 - INFO] at epoch:  35, under eval mode, val_data dice: 0.830 
[train_onemodel - 2018-11-29 01:27:41,272 - INFO] at epoch:  36, under train mode, labeled_data dice: 0.885 
[train_onemodel - 2018-11-29 01:27:54,340 - INFO] at epoch:  36, under train mode, unlabeled_data dice: 0.842 
[train_onemodel - 2018-11-29 01:27:56,638 - INFO] at epoch:  36, under train mode, val_data dice: 0.832 
[train_onemodel - 2018-11-29 01:27:59,778 - INFO] at epoch:  36, under eval mode, labeled_data dice: 0.872 
[train_onemodel - 2018-11-29 01:28:11,891 - INFO] at epoch:  36, under eval mode, unlabeled_data dice: 0.834 
[train_onemodel - 2018-11-29 01:28:13,994 - INFO] at epoch:  36, under eval mode, val_data dice: 0.824 
[train_onemodel - 2018-11-29 01:28:27,932 - INFO] at epoch:  37, under train mode, labeled_data dice: 0.885 
[train_onemodel - 2018-11-29 01:28:41,258 - INFO] at epoch:  37, under train mode, unlabeled_data dice: 0.844 
[train_onemodel - 2018-11-29 01:28:43,595 - INFO] at epoch:  37, under train mode, val_data dice: 0.841 
[train_onemodel - 2018-11-29 01:28:46,831 - INFO] at epoch:  37, under eval mode, labeled_data dice: 0.883 
[train_onemodel - 2018-11-29 01:28:58,623 - INFO] at epoch:  37, under eval mode, unlabeled_data dice: 0.845 
